project,sample,merge_commit,left_commit,right_commit,base_commit,target_classes,target_method,transformation,full_transformation,time_budget,github_link,fix,,,
okhttp,Roberto,1151c9853ccc3c9c3211c613b9b845b925f8c6a6,4c8ce7cad,cd16580d2,1b25214f59eefa81d40a529fceb85666947937cd,com.squareup.okhttp.internal.bytes.GzipSource | com.squareup.okhttp.internal.bytes.Deadline,consumeHeader(com.squareup.okhttp.internal.bytes.Deadline),TRUE,TRUE,60,https://github.com/square/okhttp,,,,
swagger-maven-plugin,Guilherme,e825a7fdc6ef688f1253b93d2cb236e710acfc56,39a512a,e19c577,b060894dcff216094743904f8a71228b21a093ed,com.github.kongchen.swagger.docgen.reader.AbstractReader | com.github.kongchen.swagger.docgen.reader.SpringMvcApiReader,hasValidAnnotations(java.util.List<java.lang.annotation.Annotation>),TRUE,FALSE,60,https://github.com/kongchen/swagger-maven-plugin,,,,
cucumber-jvm,Roberto,4505c156b6267c1b760deec570ddbfe047b42aa9,4f458e79c,62ed91808,1eb7936c19790c191e5087883f94ef77dd01f6f2,cuke4duke.internal.java.JavaLanguage,load(String),TRUE,TRUE,60,https://github.com/cucumber/cucumber-jvm,"O plugin maven-surefire-plugin do projeto original precisa estar na declaracao do pom. Logo, não deve ser rmeovido no método PomFileInstrumentation.changeSurefirePlugin.",ok-testar no server,,
retrofit,De Sousa,2b6c719c6645f8e48dca6d0047c752069d321bc4,784a32be,e60fd394,7780666f70e208359818650a38adee03f3982705,retrofit.RestAdapter | retrofit.client.Response,logAndReplaceResponse(String| retrofit.client.Response| long),TRUE,FALSE,60,https://github.com/square/retrofit,,,,
retrofit,De Sousa,2b6c719c6645f8e48dca6d0047c752069d321bc4,784a32be,e60fd394,7780666f70e208359818650a38adee03f3982705,retrofit.RestAdapter | retrofit.client.Request,logAndReplaceRequest(retrofit.client.Request),TRUE,FALSE,60,https://github.com/square/retrofit,,,,
retrofit,Roberto,71f622ce51031b152a0be6ad5facfb27a654bf5a,e5a6738c,931e29ca,89a60f7f15a9200e0cf8fe157a61caaeba104f7c,retrofit.RequestBuilder | retrofit.client.Request,build(),TRUE,TRUE,60,https://github.com/square/retrofit,,,,
HikariCP,Roberto,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,da5c0268,b4510a50,9eb405e5b81082044daca981b2655396c4e9a6eb,com.zaxxer.hikari.HikariConfig | com.zaxxer.hikari.SerializedObjectSupporter,validate(),TRUE,TRUE,60,https://github.com/brettwooldridge/HikariCP,,,,
HikariCP,Mining,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,da5c0268,b4510a50,9eb405e5b81082044daca981b2655396c4e9a6eb,com.zaxxer.hikari.HikariPool | com.zaxxer.hikari.SerializedObjectSupporter,addConnection(),TRUE,FALSE,60,https://github.com/brettwooldridge/HikariCP,,,,
jsoup,Roberto,a44e18aa3c1fcd25a68a5965f9490d8f7d026509,38e20f43,e064bc48,f9f37e19876202a1db257a9e59452b0f10035fbf,org.jsoup.nodes.TextNode | org.jsoup.nodes.Document$OutputSettings,outerHtmlHead(StringBuilder| int| org.jsoup.nodes.Document$OutputSettings),TRUE,FALSE,60,https://github.com/jhy/jsoup,,,,
okhttp,De Sousa,35166168529bd27281685e56a0a122eff44460e9,60e5bc087,870ae218c,46ea47b8f959249d7d79791385696a9b0294b950,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),TRUE,TRUE,60,https://github.com/square/okhttp,,,,
hector,Roberto,a33a46506656a39d1b0f7780973905665d3b6145,651a11421dbdcb31f758184cd768989ef88da3c1,2bf74f9177c2489e69397695e304dc08430db166,f764d6f3a1aab3245e2d657265c6d319dd036f80,me.prettyprint.cassandra.connection.client.HThriftClient,open(),TRUE,TRUE,60,https://github.com/hector-client/hector,Léuson,ok-testar no server,,
titan,Roberto,387c16ea05ef9fa312f37139228d2bbf61455ff4,a3a3aca74,43eef3b1e,67bf106dcc7470e2d6b7ef94734f200885bf35ee,com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization | com.thinkaurelius.titan.graphdb.database.serialize.kryo.KryoSerializer,initialize(com.thinkaurelius.titan.graphdb.database.serialize.Serializer),TRUE,TRUE,60,https://github.com/thinkaurelius/titan,Léuson,"Não há execução porque o projeto consta com duas dependencias de mockito; uma do projeto original, e outra do serializador.",Diferente quantidade em cada commit, isso pq a escrita de arquivos não é interrompida (objetos serializados).
elasticsearch-river-mongodb,Roberto,6b6ce8e851c6613213c4508c3f277a80649e0c7b,5d7c50df2,0fb6b4001,9e1c3852df3e69505d5aeb30d3699019de4db104,org.elasticsearch.river.mongodb.MongoDBRiverDefinition | org.elasticsearch.river.RiverSettings | org.elasticsearch.script.ScriptService,parseSettings(String| String| org.elasticsearch.river.RiverSettings| org.elasticsearch.script.ScriptService),TRUE,TRUE,60,https://github.com/richardwilly98/elasticsearch-river-mongodb,,,,
java-faker,Guilherme,ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,52b17b0,9a178bb,a15e9a97ee4c5d6f1ff2a56e30fc093de2d4770d,com.github.javafaker.Faker | java.util.Locale | java.util.Random,Faker(java.util.Locale| java.util.Random),TRUE,FALSE,60,https://github.com/DiUS/java-faker,Léuson,ok-testar no server,,
OpenTripPlanner,Roberto,4c506dce43775704919d084f0acfba86d251bf4a,4585d3ae1,aa201f789,787e2cb7704de4f070a1c7556d86e0f30c35b866,org.opentripplanner.routing.spt.MultiShortestPathTree | org.opentripplanner.routing.core.State,dominates(org.opentripplanner.routing.core.State| org.opentripplanner.routing.core.State),TRUE,FALSE,60,https://github.com/opentripplanner/OpenTripPlanner,,,,
spring-boot,De Sousa,8f29bbb860e2dc9164df61510c36b8d6f897df05,db7a2adaf3b6eb417427eef8a145cf9cd0c8c41f,d6d63eea8b438e8e733e722272a242b2ee0dc98b,0bbcb1187b3cb5f60a9d9d5c7a18e8c51432de03,,getUrl(),TRUE,TRUE,60,https://github.com/semantic-conflicts/spring-boot,,,,
spring-boot,De Sousa,7578f2f824aac027529878810b76ee176b39e73a,0d00039ae7d01538de3f813b17d125dc5fdd5706,1c21f54bf91283d70e04c49ea09a4c05a885d7ac,3eebbe1c8aed529e6903e78476492592ce0b0049,org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory | org.springframework.boot.context.embedded.InitParameterConfiguringServletContextInitializer,createDeploymentManager(org.springframework.boot.context.embedded.ServletContextInitializer[]),TRUE,FALSE,60,https://github.com/semantic-conflicts/spring-boot,,,,
spring-boot,De Sousa,d76c2891dfee6de66493520d8308ed3ec8171f6e,030672982f7fa3d07e48f5e3485060606b6e91c9,1d40ad5be32202cbcef8677469b6b54832529998,b271d5199dd693948299bd9d45e31da05e73f565,org.springframework.boot.jta.atomikos.AtomikosProperties | java.util.Properties,asProperties(),TRUE,FALSE,60,https://github.com/semantic-conflicts/spring-boot,,,,
